disp,km,name,price,time,trans,url
<span>1.6L</span>,<span>1.98万公里</span>,起亚K3 2017款 1.6L 自动15周年特别版GLS,8.55,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174119bf590f9b9b7e40713bca2ec1fbedf66f.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/su/a6bf5af6010cab51x.htm#fr_page=list&fr_pos=city&fr_no=37
<span>1.5T</span>,<span>5.12万公里</span>,福特 福克斯 2015款 两厢 EcoBoost 180 自动精英型,7.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741157774f6f4a2fbefdfddc471edc8023b39.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jinhua/3b3f752eff798359x.htm#fr_page=list&fr_pos=city&fr_no=29
<span>2.0L</span>,<span>5.13万公里</span>,江淮 瑞风M4 2016款 2.0L 手动豪华智能型,7.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117e46a4b5096bc110bd5c8e09a8eab3a92.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/changzhou/26da4fa6170da09ax.htm#fr_page=list&fr_pos=city&fr_no=38
<span>1.6L</span>,<span>9.57万公里</span>,别克 英朗 2012款 XT 1.6L 自动时尚版,4.18,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617410819bd065c3813ccdaf1f81dfb124c0b39.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zhongshan/3c6214c03df1d32ex.htm#fr_page=list&fr_pos=city&fr_no=0
<span>2.0L</span>,<span>5.13万公里</span>,雷克萨斯ES 2015款 200 精英版,26.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741188015069aaa867bf40f8d1488a5090d5e.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/gz/828d897206d8a9acx.htm#fr_page=list&fr_pos=city&fr_no=39
<span>2.0T</span>,<span>11.7万公里</span>,奥迪Q5 2013款 40 TFSI 进取型,19.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741116499f6f8e801814dabafe2aa1ffb9bb3.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zhongshan/cb273bfc2dd0bc14x.htm#fr_page=list&fr_pos=city&fr_no=39
<span>3.0L</span>,<span>3.67万公里</span>,三菱 帕杰罗·劲畅 2013款 3.0L 自动两驱豪华版,14.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174114a948d4ad024375f4f22620285db66e73.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/foshan/52ea0a8f4cc185c1x.htm#fr_page=list&fr_pos=city&fr_no=36
<span>1.5L</span>,<span>6.35万公里</span>,日产 阳光 2015款 1.5XE CVT舒适版,5.38,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117e46a4b5096bc110bd5c8e09a8eab3a92.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/dg/a79849c6c8766e75x.htm#fr_page=list&fr_pos=city&fr_no=38
<span>2.0T</span>,<span>15.9万公里</span>,宝马5系 2013款 520Li 典雅型,18.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174109e0e0997e0d1d3e1aef01456fd3a5835c.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nmg/02527d0196fb694bx.htm#fr_page=list&fr_pos=city&fr_no=32
<span>2.0T</span>,<span>0.81万公里</span>,长城 风骏7 2019款 2.0T柴油四驱精英型国VI大双4D20M,10.20,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741221f66c51df7a6e91643f21920f9885662.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/sjz/b034a5ad31bce941x.htm#fr_page=list&fr_pos=city&fr_no=34
<span>1.6L</span>,<span>5.45万公里</span>,日产 轩逸 2016款 1.6XL  CVT尊享版,8.40,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741175a0766868ff33e69fb29048186f19211.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/ganzhou/ec43440dba1fa1c6x.htm#fr_page=list&fr_pos=city&fr_no=32
<span>1.0T</span>,<span>0.82万公里</span>,吉利 缤瑞 2019款 200T DCT缤致版,7.38,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174122d5d1546cc9cfdf853fa2af86f65269e9.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/gz/3bb413fbd01f77b0x.htm#fr_page=list&fr_pos=city&fr_no=35
<span>1.4L</span>,<span>7.26万公里</span>,大众POLO 2016款 1.4L 手动风尚型,5.10,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741157774f6f4a2fbefdfddc471edc8023b39.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/jn/9d8794f18307c715x.htm#fr_page=list&fr_pos=city&fr_no=37
<span>1.4T</span>,<span>2.91万公里</span>,奥迪A3 2018款 30周年年型 Limousine 35 TFSI 进取型,14.38,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117741be3826f346282d55be18e4bfb0ec2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/dg/394e3af843ae0b03x.htm#fr_page=list&fr_pos=city&fr_no=33
<span>2.0T</span>,<span>1.94万公里</span>,大众 途观L 2018款 330TSI 自动两驱风尚版,16.90,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741188015069aaa867bf40f8d1488a5090d5e.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zhangjiakou/3d2b674b863ee0e1x.htm#fr_page=list&fr_pos=city&fr_no=31
<span>2.4L</span>,<span>11.61万公里</span>,本田 雅阁 2016款 2.4L EX 新春限量特装版,15.39,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741149f4f0e24a3ea0492f1bd17f63df2867b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/gz/27a1c47c2d3a9f01x.htm#fr_page=list&fr_pos=city&fr_no=28
<span>1.8L</span>,<span>7.89万公里</span>,本田 杰德 2013款 1.8L 自动舒适版 5座,8.28,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174111dd2c186693271f61afcb26a7a88ecf07.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zjtaizhou/05fdca293469f029x.htm#fr_page=list&fr_pos=city&fr_no=27
<span>2.0T</span>,<span>4.8万公里</span>,奔驰E级 2016款 E 200 L 运动型,34.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174115f3828cfb81846e32d827871b1a2fc76b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cd/eef47c0f38aebb28x.htm#fr_page=list&fr_pos=city&fr_no=22
<span>2.0L</span>,<span>4.84万公里</span>,起亚 狮跑 2013款 2.0L 自动两驱版GL,7.70,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174115854ec376eb70f86ac58d2e99d7371265.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jn/4ebebf8312fa6f94x.htm#fr_page=list&fr_pos=city&fr_no=26
<span>1.3L</span>,<span>10.84万公里</span>,众泰5008 2010款 1.3L 手动舒适型,0.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741068bffba745140560aba9d8d27aebd6830.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/lianyungang/fb1a1f1c43336685x.htm#fr_page=list&fr_pos=city&fr_no=30
<span>2.0L</span>,<span>4.49万公里</span>,三菱 欧蓝德 2018款 2.0L 两驱荣耀版 5座,13.38,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741186081dbc36e484b2f0c77a4fe1e9bf1b4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jn/17595ca2138a9e4ax.htm#fr_page=list&fr_pos=city&fr_no=29
<span>1.5T</span>,<span>5.41万公里</span>,本田CR-V 2017款 240TURBO CVT两驱舒适版,16.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741178519b41aa01b5cca1c8e4a3f1195f5a4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zhangjiakou/b081b5f3dd3f0dc1x.htm#fr_page=list&fr_pos=city&fr_no=24
<span>2.0T</span>,<span>1.31万公里</span>,众泰T800 2018款 2.0T 自动尊享智联型 7座,8.08,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174119babcd1425446285724e35a4c637c270c.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/luzhou/c49637d0e1e06a8ex.htm#fr_page=list&fr_pos=city&fr_no=21
<span>2.0T</span>,<span>4.34万公里</span>,奥迪Q5L 2018款 40 TFSI 荣享时尚型 国V,33.95,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174120ab275d5bf6ab47f3d7670b81c1f501cc.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hrb/14c5ca91acd5870ex.htm#fr_page=list&fr_pos=city&fr_no=23
<span>2.0T</span>,<span>5.24万公里</span>,奔驰CLA级AMG 2014款 AMG CLA 45 4MATIC,28.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174113e0ccff5233a8060375d917220d182323.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/dl/77eaa3d6a48a6ad0x.htm#fr_page=list&fr_pos=city&fr_no=20
<span>2.5L</span>,<span>12.38万公里</span>,奔驰C级 2008款 C 230 时尚型,7.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174103b351c9083b117a753a8d7f2bac8e2572.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cc/1ad67c72219f18d5x.htm#fr_page=list&fr_pos=city&fr_no=17
<span>1.5L</span>,<span>0.58万公里</span>,吉利 远景X3 2019款 升级版 1.5L CVT精英型,5.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174121523cb656c29c3a88033d1ac858675d40.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/sjz/e2e067353196b506x.htm#fr_page=list&fr_pos=city&fr_no=16
<span>2.0T</span>,<span>4.22万公里</span>,奥迪A4L 2017款 40 TFSI 时尚型,22.45,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117e46a4b5096bc110bd5c8e09a8eab3a92.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hz/c97a19a5fe8158ddx.htm#fr_page=list&fr_pos=city&fr_no=25
<span>2.0T</span>,<span>4.92万公里</span>,奔驰C级 2015款 C 200 L 运动型,21.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741138e1121898521d114000fe06df9188db9.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/bj/6c13fd7b7604a9e3x.htm#fr_page=list&fr_pos=city&fr_no=19
<span>1.5T</span>,<span>2.87万公里</span>,本田 冠道 2017款 240TURBO 两驱精英版,20.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174119bf590f9b9b7e40713bca2ec1fbedf66f.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/wh/9aa4330132232a5fx.htm#fr_page=list&fr_pos=city&fr_no=14
<span>0.9T</span>,<span>2.42万公里</span>,Smart smart forfour 2018款 0.9T 66千瓦先锋版,11.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741184e048054c1edd8b4ce2425387e063167.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/wh/a2574a1712e0a1dex.htm#fr_page=list&fr_pos=city&fr_no=13
<span>1.8L</span>,<span>8.77万公里</span>,本田 缤智 2015款 1.8L CVT两驱精英型,7.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174113e0ccff5233a8060375d917220d182323.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/ty/a23ca26a6350e854x.htm#fr_page=list&fr_pos=city&fr_no=18
<span>2.0T</span>,<span>2.93万公里</span>,奥迪Q5 2018款 典藏版 40 TFSI 技术型,28.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741186081dbc36e484b2f0c77a4fe1e9bf1b4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hrb/bf8a367320d1db65x.htm#fr_page=list&fr_pos=city&fr_no=15
<span>1.6L</span>,<span>5.64万公里</span>,日产 轩逸 2012款 经典 1.6XE 手动舒适版,4.48,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174111d51ba6679f7be72270cbc2ce12bcfdf3.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/sjz/d4e409e2b13366adx.htm#fr_page=list&fr_pos=city&fr_no=12
<span>1.6L</span>,<span>4.27万公里</span>,日产 骐达 2016款 1.6L CVT酷动版,8.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117741be3826f346282d55be18e4bfb0ec2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/lianyungang/8c8469f6a7da64bex.htm#fr_page=list&fr_pos=city&fr_no=11
<span>1.5L</span>,<span>6.46万公里</span>,大众 捷达 2017款 1.5L 自动舒适型,6.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174116cb5714fec07899ef13d38987f6b5270f.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cc/50db360206eae0e6x.htm#fr_page=list&fr_pos=city&fr_no=5
<span>2.0T</span>,<span>6.66万公里</span>,宝马X6 2017款 xDrive28i(进口),50.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411804a3be7aa17a941f46f2575f44a66e11.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cs/6eb8bfad515f0368x.htm#fr_page=list&fr_pos=city&fr_no=7
<span>1.6L</span>,<span>12.83万公里</span>,日产 骐达 2008款 1.6L 自动时尚型,4.49,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174106f324f963dc8cf74c6482dd4520df8bcf.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/aad828ce083684d2x.htm#fr_page=list&fr_pos=city&fr_no=8
<span>1.5T</span>,<span>0.43万公里</span>,吉利 帝豪GS 2019款 1.5TD DCT动Pro 260T,8.20,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174120070586fac9e0d060b73a84781fa0ffe5.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hf/138883d3c11bc85cx.htm#fr_page=list&fr_pos=city&fr_no=10
<span>1.6L</span>,<span>5.21万公里</span>,现代 领动 2016款 1.6L 自动智炫·精英型,7.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174115f1282322ba0052e2084dcef6bc3ebcdd.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jinhua/1d37c3512838dbf1x.htm#fr_page=list&fr_pos=city&fr_no=9
<span>1.4T</span>,<span>3.24万公里</span>,大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,11.28,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117741be3826f346282d55be18e4bfb0ec2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zjtaizhou/37c12778c5af4d77x.htm#fr_page=list&fr_pos=city&fr_no=4
<span>1.4T</span>,<span>5.78万公里</span>,大众 凌渡 2017款 230TSI DSG风尚版,10.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741163a5072195cd8af0c0d7a25b4d5c7c9d7.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jinhua/46dc5ce941b4abd8x.htm#fr_page=list&fr_pos=city&fr_no=2
<span>2.0T</span>,<span>5.05万公里</span>,大众 迈腾 2016款 2.0TSI 智享豪华型,13.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741153add376c9a3842db6c423b71a4ef7a9a.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hrb/70e006a74c8edb8bx.htm#fr_page=list&fr_pos=city&fr_no=6
<span>2.0L</span>,<span>6.01万公里</span>,本田 雅阁 2016款 2.0L 精英版,15.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174116cb5714fec07899ef13d38987f6b5270f.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/dl/70d8a5083fe1cff3x.htm#fr_page=list&fr_pos=city&fr_no=3
<span>2.0T</span>,<span>3.22万公里</span>,宝马5系 2019款 530Li 领先型 豪华套装,42.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174119c8a18f24f737435c17c81ac183000629.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/xuzhou/2754b6f55a3423e2x.htm#fr_page=list&fr_pos=city&fr_no=1
<span>2.0T</span>,<span>9.6万公里</span>,奥迪A5 2014款 Sportback 45 TFSI(进口),23.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741135197a0569d04736c74ca100596792b86.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/sz/18efe642c679f14cx.htm#fr_page=list&fr_pos=city&fr_no=36
<span>1.2T</span>,<span>2.3万公里</span>,丰田 雷凌 2019款 185T CVT豪华版 国VI,11.10,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741216913c7ab9b30370ca00202fee4dc82a7.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/tangshan/802b0a59dccd7d29x.htm#fr_page=list&fr_pos=city&fr_no=0
<span>1.5T</span>,<span>1.89万公里</span>,奔驰C级 2019款 C 260 L,29.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741216913c7ab9b30370ca00202fee4dc82a7.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nj/c8eb42aa4fd35eccx.htm#fr_page=list&fr_pos=city&fr_no=37
<span>2.0T</span>,<span>4.89万公里</span>,奔驰GLC级 2017款 GLC 260 4MATIC 动感型,31.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741175a0766868ff33e69fb29048186f19211.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/ty/b99e5e4e14b52786x.htm#fr_page=list&fr_pos=city&fr_no=35
<span>2.0T</span>,<span>0.3万公里</span>,大众 途昂 2020款 改款 330TSI 两驱豪华版 国VI,28.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741223b68a2273917f218464f526cb9466a5b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/tj/c8db2f554a496a1bx.htm#fr_page=list&fr_pos=city&fr_no=31
<span>2.0T</span>,<span>4.78万公里</span>,捷豹XFL 2017款 XFL 2.0T 240PS 豪华版,25.30,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741168b8a2cd4c3ef1f72b5644771744916fb.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/sz/ad14369896e81473x.htm#fr_page=list&fr_pos=city&fr_no=38
<span>3.5L</span>,<span>1.33万公里</span>,丰田 普拉多 2018款 3.5L 自动TX-L NAVI后挂备胎,59.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741216913c7ab9b30370ca00202fee4dc82a7.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/c0214bc24e7cf5f8x.htm#fr_page=list&fr_pos=city&fr_no=28
<span>1.5T</span>,<span>1.44万公里</span>,宝马X1 2019款 sDrive18Li 尊享型,21.90,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174119cdaa3fa8479f27f281c67f09dde38ec0.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/578309c3569876dax.htm#fr_page=list&fr_pos=city&fr_no=26
<span>1.6T</span>,<span>4.19万公里</span>,奔驰C级 2018款 C 180 L 时尚型运动版,25.18,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174118a1abff912088feb85f072f9de824f7e4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/foshan/cd0685a4a6bda637x.htm#fr_page=list&fr_pos=city&fr_no=32
<span>1.8T</span>,<span>4.54万公里</span>,奥迪A6L 2018款 30周年年型 TFSI 进取型,30.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174119babcd1425446285724e35a4c637c270c.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/su/89fabac39ae0311cx.htm#fr_page=list&fr_pos=city&fr_no=17
<span>1.5T</span>,<span>6.12万公里</span>,本田 思域 2016款 220TURBO CVT豪华版,11.48,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741163d3392cd82888f58f4ec4dd4e143000e.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cq/adbb25b6ad796908x.htm#fr_page=list&fr_pos=city&fr_no=16
